event_id,event_start,event_end,event_total_mm,peak_1hr_mm,duration_hours,wet_hours,avg_intensity,peak_ratio,rain_72h_prior,typhoon_season,cluster_id,PC1,PC2
1092,2004-10-04 05:00:00,2004-10-06 18:00:00,114.631,22.288,62,50,2.2926,0.1944,44.087,1,1,1.1718480753122051,0.5021225301959995
1093,2004-10-06 21:00:00,2004-10-09 11:00:00,64.519,11.727,63,40,1.613,0.1818,114.631,1,3,-0.2488970398409919,2.6502012156885897
1094,2004-10-10 06:00:00,2004-10-10 17:00:00,21.989,9.883,12,6,3.6648,0.4495,62.242,1,1,-0.8408501302239932,1.195338293333129
1106,2004-10-27 02:00:00,2004-10-27 20:00:00,55.631,18.405,19,13,4.2793,0.3308,7.6,1,1,0.3643073043907937,-0.5034764787991433
1107,2004-10-28 01:00:00,2004-10-28 20:00:00,71.46,14.462,20,13,5.4969,0.2024,63.231,1,1,0.4951912318751615,1.1776304017159056
1118,2004-11-14 06:00:00,2004-11-19 21:00:00,398.7,26.591,136,101,3.9475,0.0667,2.564,1,2,4.954768253620364,-0.9675294267226882
1122,2004-11-27 16:00:00,2004-11-29 03:00:00,122.341,22.623,36,31,3.9465,0.1849,0.0,1,1,1.4237500585829546,-0.805849415748273
1125,2004-11-30 15:00:00,2004-12-02 21:00:00,275.711,81.679,55,42,6.5645,0.2962,124.35,1,2,8.161410033283083,3.1636214648316177
1131,2004-12-26 22:00:00,2004-12-28 06:00:00,89.853,14.279,33,20,4.4926,0.1589,0.0,0,1,0.5524074533157085,-0.814109622973224
1149,2005-02-17 23:00:00,2005-02-18 21:00:00,37.873,6.562,23,15,2.5249,0.1733,13.21,0,0,-0.9895334122402768,-0.4161478554526721
1151,2005-03-16 16:00:00,2005-03-17 12:00:00,77.876,29.222,21,16,4.8672,0.3752,0.0,0,1,1.5426436595719082,-0.7016230035304285
1159,2005-05-01 21:00:00,2005-05-02 10:00:00,33.825,7.161,14,9,3.7583,0.2117,0.0,0,0,-0.8173855455525993,-0.7861254583311887
1175,2005-06-04 07:00:00,2005-06-06 15:00:00,37.073,4.438,57,31,1.1959,0.1197,9.273,1,0,-1.1850863643296847,-0.6154758119939403
1176,2005-06-06 20:00:00,2005-06-08 03:00:00,29.583,3.644,32,22,1.3447,0.1232,37.586,1,1,-1.444762309300561,0.2933031655793441
1194,2005-06-25 07:00:00,2005-06-27 04:00:00,23.753,4.066,46,25,0.9501,0.1712,24.4,1,0,-1.4752744130132265,-0.1227510521782626
1195,2005-06-28 01:00:00,2005-06-29 00:00:00,20.182,6.282,24,11,1.8347,0.3113,23.753,1,0,-1.3624175403801249,-0.0653915784788451
1196,2005-06-29 07:00:00,2005-06-30 18:00:00,38.715,9.395,36,20,1.9358,0.2427,23.698,1,0,-0.8161471511061348,-0.0946878092429803
